FirstName;MiddleName;LastName;BirthYear;Age;PassportID
Vladimir;Petrovich;Nikitin;1998;22;58500
Artem;Svytoslavich;Okunevskiy;2000;20;74660
Peter;Borisovich;Eliseev;1966;54;30399
Vladimir;Dmitrievich;Volkov;1926;94;16589
Denis;Vasilievich;Sobolev;1910;110;891
German;Ivanovich;Borisov;1976;44;60716
Peter;Stanislavovich;Dmitriev;1948;72;5703
Vladislav;Victorovich;Rzhevskiy;1967;53;30195
Andrey;Vitalievich;Kamishev;2011;9;53935
Ivan;Vasilievich;Fedoro;2004;16;20960
Evgeniy;Borisovich;Kamishev;2019;1;61149
Rustam;Ivanovich;Victorov;2002;18;2374
German;Dmitrievich;Krasnov;1916;104;878
Nikita;Vladimirovich;Victorov;1974;46;69118
Arseny;Vitalievich;Dmitriev;1932;88;74373
Artem;Vasilievich;Ribin;1991;29;10827
Vladislav;Svytoslavich;Eliseev;1976;44;57240
German;Olegovich;Fedoro;1956;64;80288
Anton;Evgenievich;Rogkov;1948;72;16898
Slava;Ivanovich;Petrov;1986;34;50480
Ivan;Evgenievich;Sobolev;2009;11;69289
Georgiy;Vasilievich;Petrov;2016;4;68318
Ivan;Olegovich;Rzhevskiy;1974;46;19135
Peter;Borisovich;Dmitriev;1927;93;50392
Oleg;Vasilievich;Victorov;1972;48;68224
Yuriy;Vitalievich;Dmitriev;1923;97;36780
Arseny;Nikolaevich;Artemov;1982;38;42622
Vasiliy;Evgenievich;Ribin;1970;50;34598
Artem;Svytoslavich;Rzhevskiy;1944;76;45609
Maxim;Evgenievich;Victorov;1991;29;56727
Stanislav;Victorovich;Rzhevskiy;1953;67;50090
Andrey;Nikolaevich;Kamishev;1972;48;5050
Anton;Olegovich;Rzhevskiy;1978;42;65761
Stanislav;Borisovich;Sobolev;1922;98;74312
Georgiy;Evgenievich;Victorov;1946;74;14026
Oleg;Borisovich;Eliseev;1976;44;74721
Vitaliy;Olegovich;Ivanov;1916;104;80623
Arkady;Ivanovich;Sobolev;1970;50;1425
Vasiliy;Vasilievich;Rogkov;1985;35;54344
Nikolay;Vasilievich;Fedoro;1986;34;29035
Boris;Ivanovich;Borisov;1968;52;62868
Ivan;Ivanovich;Kamishev;1986;34;92480
Peter;Svytoslavich;Nikitin;2019;1;45744
Denis;Dmitrievich;Moryashov;1920;100;43772
Nikita;Nikolaevich;Okunevskiy;1941;79;22730
Yuriy;Vasilievich;Fedoro;1979;41;60414
Artem;Vasilievich;Borisov;1979;41;85479
Arseny;Stanislavovich;Eliseev;1972;48;37513
Peter;Victorovich;Borisov;2009;11;24286
Peter;Stanislavovich;Krasnov;1974;46;35129
Arnold;Dmitrievich;Eliseev;1977;43;62038
Alex;Borisovich;Sobolev;1973;47;86773
Nikita;Stanislavovich;Eliseev;1914;106;66777
Denis;Vladimirovich;Borisov;1943;77;17392
Vasiliy;Olegovich;Okunevskiy;1991;29;15488
Victor;Dmitrievich;Petrov;1980;40;82000
Anton;Vasilievich;Koshkin;1942;78;46555
Arnold;Olegovich;Lisev;1991;29;31388
Arseny;Evgenievich;Okunevskiy;1989;31;30005
Bohdan;Dmitrievich;Petrov;1996;24;52458
Vladislav;Evgenievich;Petrov;2006;14;65385
Georgiy;Dmitrievich;Artemov;1934;86;29029
Nikita;Petrovich;Krasnov;1922;98;49253
German;Ivanovich;Rogkov;1966;54;38236
Alex;Ivanovich;Moryashov;1953;67;589
Alex;Dmitrievich;Moryashov;2004;16;49150
Yuriy;Ivanovich;Volkov;1996;24;55281
German;Evgenievich;Moryashov;1929;91;37424
Ivan;Victorovich;Kamishev;1977;43;2783
Victor;Nikolaevich;Moryashov;1924;96;84707
Arkady;Petrovich;Eliseev;2003;17;1467
Vasiliy;Vitalievich;Moryashov;1933;87;6595
Peter;Stanislavovich;Lisev;1945;75;36756
Slava;Borisovich;Rzhevskiy;1967;53;61110
Evgeniy;Olegovich;Sobolev;1979;41;40241
Vitaliy;Olegovich;Okunevskiy;1917;103;42780
George;Vladimirovich;Artemov;1934;86;31134
Vasiliy;Borisovich;Sobolev;1941;79;78810
Andrey;Victorovich;Eliseev;1977;43;36112
Arkady;Ivanovich;Okunevskiy;1935;85;24954
Anton;Evgenievich;Petrov;1918;102;52467
Boris;Dmitrievich;Victorov;2008;12;23276
Ivan;Dmitrievich;Ribin;1918;102;4709
Dmitriy;Svytoslavich;Ribin;1953;67;43278
Bohdan;Borisovich;Artemov;2002;18;69353
Rustam;Ivanovich;Ivanov;1967;53;95480
Rustam;Ivanovich;Borisov;1938;82;68401
Bohdan;Vasilievich;Okunevskiy;1910;110;94097
Vladislav;Victorovich;Borisov;1925;95;22232
German;Nikolaevich;Koshkin;1919;101;65993
Arkady;Nikolaevich;Rzhevskiy;1982;38;69148
Evgeniy;Ivanovich;Krasnov;1925;95;68950
Oleg;Victorovich;Ivanov;2005;15;64452
Alex;Dmitrievich;Borisov;2014;6;5877
Maxim;Olegovich;Kamishev;1978;42;29224
Nikita;Svytoslavich;Krasnov;1934;86;15591
Vitaliy;Ivanovich;Ribin;1921;99;90264
Boris;Dmitrievich;Rogkov;1928;92;97439
Evgeniy;Olegovich;Fedoro;1960;60;375
Yuriy;Dmitrievich;Koshkin;1944;76;99261
Dmitriy;Ivanovich;Nikitin;1937;83;15350
Svaytoslav;Olegovich;Ribin;1931;89;77965
Slava;Stanislavovich;Ribin;1960;60;92129
Slava;Olegovich;Moryashov;1972;48;42204
Bohdan;Petrovich;Borisov;1969;51;25528
